case_id,node_id,target_id,target_min_C,target_max_C,all_time_min_C,all_time_max_C,last_orbit_min_C,last_orbit_max_C,lower_margin_C,upper_margin_C,target_met,orbits_simulated,periodic_converged
cold_heater_off_475,camera,electronics_C,-10.0,50.0,-37.93088505348044,-10.0,-37.93088505348044,-29.422422918195963,-27.930885053480438,79.42242291819596,NO,52,YES
cold_heater_stuck_on_475,panel_plus_x_camera,panel_structure_C,-40.0,85.0,-41.0067786957554,-10.0,-41.0067786957554,-16.495982007581574,-1.0067786957554006,101.49598200758157,NO,11,YES
cold_heater_stuck_on_475,panel_minus_x,panel_structure_C,-40.0,85.0,-41.01460294861073,-10.0,-41.01460294861073,-17.271365716933417,-1.0146029486107295,102.27136571693342,NO,11,YES
cold_heater_stuck_on_475,panel_plus_y,panel_structure_C,-40.0,85.0,-41.01460294861073,-10.0,-41.01460294861073,-17.271365716933417,-1.0146029486107295,102.27136571693342,NO,11,YES
cold_heater_stuck_on_475,panel_minus_y,panel_structure_C,-40.0,85.0,-41.01460294861073,-10.0,-41.01460294861073,-17.271365716933417,-1.0146029486107295,102.27136571693342,NO,11,YES
cold_heater_stuck_on_475,panel_plus_z_ants,panel_structure_C,-40.0,85.0,-41.01460294861073,-10.0,-41.01460294861073,-17.271365716933417,-1.0146029486107295,102.27136571693342,NO,11,YES
cold_heater_stuck_on_475,panel_minus_z,panel_structure_C,-40.0,85.0,-41.01460294861073,-10.0,-41.01460294861073,-17.271365716933417,-1.0146029486107295,102.27136571693342,NO,11,YES
cold_heater_stuck_on_475,structure,panel_structure_C,-40.0,85.0,-26.60834642041462,-10.0,-26.60834642041462,-16.097927841304795,13.39165357958538,101.0979278413048,YES,11,YES
cold_heater_stuck_on_475,battery_eps,battery_normal_C,5.0,35.0,-23.075869958866235,-8.526675301629268,-23.075869958866235,-13.77696386266939,-28.075869958866235,48.77696386266939,NO,11,YES
cold_heater_stuck_on_475,avionics,electronics_C,-10.0,50.0,-24.833493060337844,-9.890636291625242,-24.833493060337844,-15.797332087432665,-14.833493060337844,65.79733208743266,NO,11,YES
cold_heater_stuck_on_475,radio_antenna,electronics_C,-10.0,50.0,-24.830039745844573,-9.899044269148419,-24.830039745844573,-16.227408614706007,-14.830039745844573,66.22740861470601,NO,11,YES
cold_heater_stuck_on_475,camera,electronics_C,-10.0,50.0,-25.398586724761685,-10.0,-25.398586724761685,-17.039362611128638,-15.398586724761685,67.03936261112864,NO,11,YES
hot_continuous_sun_475,panel_plus_x_camera,panel_structure_C,-40.0,85.0,30.0,52.85033526583402,52.601225228079784,52.85033526583402,92.60122522807978,32.14966473416598,YES,60,YES
hot_continuous_sun_475,panel_minus_x,panel_structure_C,-40.0,85.0,30.0,51.9951123441582,51.745165919130955,51.9951123441582,91.74516591913095,33.0048876558418,YES,60,YES
hot_continuous_sun_475,panel_plus_y,panel_structure_C,-40.0,85.0,30.0,51.9951123441582,51.745165919130955,51.9951123441582,91.74516591913095,33.0048876558418,YES,60,YES
